symbol,price,bias,score,prob5,day_chg,ret_1h,ret_2h,vol_ratio,atr_pct,rsi,entry,sl,target,avg_range
JPPOWER,22.950000762939453,BUY,35.71825236147663,74.0,19.96864490201982,0.0,0.5696804112785392,1.1699626310476519,4.665420904279122,61.83207329457971,22.995900764465333,22.51311576183864,24.1456958026886,5.813311809500473
SUZLON,57.75,BUY,32.77329072195996,74.0,5.807984724437398,4.904633606464737,5.691802059098761,4.903166186258496,2.9474337453376234,86.29808375644991,58.1961618347168,57.32321940719604,61.10596992645264,3.0573105624233397
HFCL,173.10000610351562,BUY,19.978956342371404,65.36533475495698,6.983932533142845,0.034681472325059914,-0.7454058706793054,1.1040012619451682,5.401089792574419,59.944182500436575,176.7628236694336,172.46662019760936,185.6009648529053,6.3529077004349706
ZEEL,90.83999633789062,BUY,23.40883276898733,63.77068523188701,9.736648559373418,-1.9006502864277408,-0.9378414819762426,1.6583327781771793,4.260236176731089,63.25923029060064,93.16596336364746,91.3798728296193,97.82426153182985,4.067813285028718
DISHTV,3.2699999809265137,SELL,17.654065209065173,52.01218086724364,-2.967356321318637,0.0,-1.2084580829157865,1.8556197579355413,4.914810510140977,37.5,3.2534799904823304,3.325436059915232,3.0908059909582137,4.293309351825064
NBCC,99.19999694824219,BUY,19.486504776063555,51.47574473941458,3.8199830244979083,0.5269524133140191,1.701861817853012,2.0235851274676286,3.449019854598942,69.89532507943989,100.00961755371094,98.45740934903976,105.01009843139649,3.1513585580186896
HATHWAY,10.960000038146973,BUY,19.133736929725025,50.094221245395055,3.5916835272320924,0.7352934086817919,1.3876004875825076,2.275183110919409,2.6720538409313757,69.99994277965015,11.072100191116332,10.906018688249587,11.625705200672149,2.865256143749046
NHPC,80.95999908447266,BUY,16.776195580285993,44.907630276629185,3.212642229261542,0.6714759112440127,0.7717236430711871,1.879856185899836,2.3653654239987727,73.83154247089107,81.162,79.94457,85.22010000000002,2.233050936517791
RPOWER,27.709999084472656,BUY,15.660899680316573,44.27449115572362,3.821650543294197,0.036095022591409176,0.5442656801051049,1.1900395850531162,3.7119137461854503,58.74997019764918,28.256400764465333,27.784416813596284,29.6692208026886,3.4551279647567874
IDEA,14.210000038146973,BUY,11.708404937168641,38.10706258838359,0.49504733468606066,-0.1405446572924629,0.0,1.5391281998444486,3.7951146698205895,56.52177518669481,14.308559732437134,14.06419792018654,15.023987719058992,4.087142931653146
DEN,27.829999923706055,BUY,12.313979726666076,37.30401413941653,0.433059701184324,0.39682760850057175,-0.07181492814980484,1.3597534149346653,4.101432547968017,58.273345756227684,28.3365606880188,27.8135684726539,29.75338872241974,3.5533146851877917
IDFCFIRSTB,71.76000213623047,BUY,13.266261753908381,37.18577585859844,2.1931086424893165,1.8594822494466756,2.0042696413533845,2.9035742665065394,2.1291184767383893,89.78486023093173,72.4746618347168,71.38754190719605,76.09839492645264,2.121632060908821
BANKINDIA,147.22999572753906,BUY,12.752627432865925,36.055780352305035,1.544927339478308,0.1564596785980088,0.19054017360442543,1.7649409791249648,2.284081377150873,75.7462920260768,147.7849855041504,145.56821072158814,155.17423477935793,2.3542788262948044
NMDC,92.37999725341797,BUY,12.636059470034015,35.79933083407484,1.8859591033479672,0.3257986711530547,0.4239584723395584,1.141321710587962,2.4123970196586875,75.36239896504826,92.88539694213867,91.49211598800659,97.52966678924561,2.3793311453325297
EQUITASBNK,72.08999633789062,SELL,11.48520211114479,35.09187418213892,2.7654950389360167,-0.31803561657102186,-0.04160622233591038,1.605188672961081,3.2360325815968647,40.48754163642792,71.76618365478515,72.84267640960692,68.17787447204589,3.456107384405096
ASHOKLEY,163.89999389648438,BUY,12.071134227981862,34.5564953015601,2.0929368075673027,0.8491198546302758,1.3793503759483627,1.9312797040406575,2.929488113026495,84.78694130836041,164.42820611572265,161.9617830239868,172.6496164215088,2.9703494830613826
SOUTHBANK,41.20000076293945,BUY,11.839612760841911,34.20571433536708,1.1291091446267387,0.0485683769195111,0.17019132751368016,1.4307697047405268,2.9022200386916643,66.03784449066843,41.47277938842773,40.850687697601316,43.54641835784912,3.039641565378718
CANBK,134.2899932861328,BUY,11.378808099167081,33.03337781816758,0.8561768245627599,0.21641290009910552,-0.03722126925778113,1.3540015151425633,2.763208849010539,55.78506664648987,135.56057327270508,133.5271646736145,142.33860193634035,2.600035941556562
IEX,126.87999725341797,BUY,11.28326706695375,32.82318754729825,-0.4628571127598957,0.3400556073969607,0.6744413888391865,1.4591597470794637,2.3443833642423457,69.45808919974293,127.92533816528321,126.00645809280395,134.32160507354737,2.1621588613034732
ALOKINDS,12.920000076293945,SELL,10.486139113896948,32.15035670460294,1.9731649447087163,0.3885018739663515,0.3105587072796734,1.2680584917324416,3.687527663040082,40.625018626580285,12.744460456848145,12.955940434031312,12.107237434005738,3.2702126635074125
NETWORK18,31.260000228881836,SELL,10.787649925241343,31.732829835530957,-0.6357242892913173,0.4821588414895883,-1.667193052475302,2.8110866377926635,3.0024697994200915,45.05120875844556,30.72842091369629,31.189347227401733,29.191999868011475,2.7273774462217903
YESBANK,22.75,SELL,10.69473373101829,31.53438403317274,-0.3504157861296542,-0.17551958718917682,-0.17551958718917682,1.2109172716743826,2.863421956635719,37.930966443482724,22.684539543151857,23.024807636299133,21.550312565994265,3.001492456233124
IRCON,139.69000244140625,BUY,10.051350571475755,30.112971257246663,-0.38507687555092707,0.050141331232667063,0.01432252647182164,1.2646865140753092,3.0056348113670213,55.13526888815572,141.13170611572266,139.01473052398683,148.1882914215088,2.9016213849618553
IDBI,73.5,SELL,9.905657984924524,29.792447566833953,0.7677509457771237,0.08169601933445403,0.027213720948360276,1.3951021908040986,2.644317004145408,42.42448762556498,73.18334182739258,74.28109195480346,69.52417473602294,2.459110949050015
UCOBANK,25.559999465942383,BUY,9.881430525426119,29.739147155937463,0.5903172744235574,-0.38971310235534906,-0.27311625874483214,1.2939912491907926,1.9813341221703302,71.11110169204164,25.74138053512573,25.355259827098845,27.02844956188202,1.8140306865622193
PNB,106.68000030517578,BUY,9.611320829153996,29.144905824138792,0.7270291912395477,0.06565959518194386,-0.08428991357140037,0.9729945927510073,2.0769717797507945,65.80642938359233,107.2540809173584,105.64526970359802,112.61678496322632,2.327131176366989
UJJIVANSFB,54.630001068115234,SELL,8.351394644822763,28.443494719696165,-1.4076859437733846,-0.31021564108042465,-0.10970480910644786,1.431028966978418,3.810045656561598,20.472540279463175,53.96185969543457,54.88704686662116,51.263766710662836,3.5176066252715215
MAHABANK,80.01000213623047,BUY,9.124181936538726,28.0732002603852,-0.21202066387912,-0.23690127087452328,-0.024986434301410565,1.0593591282732377,2.506829599990312,60.714723633836975,80.4105,79.2043425,84.431025,2.4254689408144707
MMTC,65.9000015258789,BUY,7.7052196379069935,26.248889693227227,1.3222641424444515,0.1367633651786937,0.24338860253836359,1.3075633604310606,3.6722286158851336,47.1699607018958,66.9235809173584,65.81766681720836,70.26975996322632,3.3243516224579595
TRIDENT,24.65999984741211,BUY,5.716423616082796,20.576131955382152,0.8588919342324308,0.0,0.08117069098660945,1.2817785128891332,2.5309893000521018,51.72416061034562,24.889680152893067,24.51633495059967,26.134164160537722,2.331901872019659
GAIL,169.00999450683594,BUY,5.660094706813901,20.45220835499058,0.8232354493983074,0.28481322673457043,0.18375670669921185,0.84423177216432,2.7420176521238715,49.11244740596277,169.86905877685547,167.32102289520265,178.36251171569825,2.432617862215996
CENTRALBK,30.940000534057617,BUY,5.494728966572552,20.088403726459617,-0.25789788048191653,0.8474583647183787,-0.06459480299232379,1.0069340816915873,2.232430092190776,49.206329983863206,31.092060688018798,30.625679777698515,32.64666372241974,1.9066231192813756
IRFC,99.20999908447266,SELL,5.308829442305385,19.679424773071847,-0.0705073485947838,0.030246802989086774,-0.0705073485947838,1.7196608375583395,2.1253626632015306,48.57151161100939,98.87185969543457,100.35493759086607,93.92826671066284,1.965878429265128
IOB,33.900001525878906,BUY,4.814145604236098,18.591120329319416,0.8028559297896143,-0.08841373129105934,0.0,1.323588446742388,1.5044269937547317,79.24526943866644,34.0279190826416,33.51750029640198,35.729315036773684,1.5061132687894796
UNIONBANK,168.74000549316406,BUY,4.673565984999966,18.281845166999926,0.7042300977341931,-0.14793774298688112,0.2435713524918004,0.8988022797023163,2.173249606655177,50.41675408647886,169.73879388427736,167.1927119760132,178.22573357849123,2.199668684056266
